Sample	Human counts	Human percentage	total_reads	Mouse counts	Mouse percentage	Rat counts	Rat percentage	Drosophila counts	Drosophila percentage	Worm counts	Worm percentage	Yeast counts	Yeast percentage	Arabidopsis counts	Arabidopsis percentage	Ecoli counts	Ecoli percentage	rRNA counts	rRNA percentage	MT counts	MT percentage	PhiX counts	PhiX percentage	Lambda counts	Lambda percentage	Vectors counts	Vectors percentage	Adapters counts	Adapters percentage	No hits counts	No hits percentage
G2_CO875-001_R1_screen	99390	99.30999999999999	100075	17080	17.06	16951	16.93	551	0.55	542	0.54	226	0.22	331	0.33	3	0.0	9	0.01	761	0.76	0	0.0	0	0.0	468	0.45999999999999996	146	0.15	630	0.63
G2_CO875-001_R2_screen	98674	98.60000000000001	100075	18985	18.97	19020	19.009999999999998	502	0.49	1225	1.23	159	0.16	312	0.31	1	0.0	15	0.01	766	0.76	0	0.0	0	0.0	1097	1.1	2	0.0	970	0.97
G3_CO875-001_R1_screen	99599	99.39	100206	15702	15.670000000000002	15525	15.48	430	0.42000000000000004	531	0.53	169	0.17	284	0.28	2	0.0	14	0.01	549	0.54	0	0.0	0	0.0	499	0.5	236	0.24000000000000002	571	0.57
G3_CO875-001_R2_screen	99000	98.8	100206	17348	17.31	17326	17.29	397	0.39	1162	1.1600000000000001	146	0.13999999999999999	291	0.29000000000000004	0	0.0	12	0.01	566	0.5700000000000001	0	0.0	0	0.0	1029	1.03	4	0.0	851	0.85
G4_CO875-001_R1_screen	99197	99.22	99977	15369	15.37	15311	15.31	418	0.42000000000000004	472	0.47	174	0.17	298	0.29000000000000004	2	0.0	28	0.03	582	0.5800000000000001	0	0.0	0	0.0	426	0.43	167	0.17	719	0.72
G4_CO875-001_R2_screen	98566	98.60000000000001	99977	17274	17.279999999999998	17218	17.23	371	0.38	1136	1.1400000000000001	136	0.14	301	0.3	2	0.0	16	0.02	568	0.5700000000000001	0	0.0	0	0.0	1014	1.01	10	0.02	1009	1.01
WT1_CO875-001_R1_screen	98995	99.22000000000001	99780	17378	17.41	17449	17.48	542	0.54	679	0.6799999999999999	226	0.22	369	0.37	1	0.0	61	0.060000000000000005	924	0.9199999999999999	0	0.0	0	0.0	683	0.6799999999999999	309	0.31	758	0.76
WT1_CO875-001_R2_screen	98026	98.24000000000001	99780	19255	19.3	19331	19.369999999999997	533	0.53	1620	1.62	190	0.2	343	0.33999999999999997	2	0.0	57	0.060000000000000005	907	0.9099999999999999	0	0.0	0	0.0	1473	1.48	10	0.01	1077	1.08
WT2_CO875-001_R1_screen	99298	99.43	99873	16597	16.630000000000003	16389	16.41	517	0.51	520	0.52	172	0.17	326	0.32	1	0.0	12	0.01	720	0.72	0	0.0	0	0.0	445	0.45	161	0.16	549	0.55
WT2_CO875-001_R2_screen	98717	98.83999999999999	99873	18001	18.03	18004	18.03	448	0.44	1072	1.07	170	0.16999999999999998	299	0.30000000000000004	0	0.0	9	0.01	722	0.72	0	0.0	0	0.0	919	0.92	9	0.01	788	0.79
WT3_CO875-001_R1_screen	98482	98.35999999999999	100117	17695	17.67	17259	17.240000000000002	499	0.49	665	0.6599999999999999	215	0.21	398	0.4	13	0.01	36	0.03	696	0.7000000000000001	0	0.0	0	0.0	594	0.59	196	0.19	1521	1.52
WT3_CO875-001_R2_screen	97627	97.52	100117	18837	18.810000000000002	18944	18.909999999999997	490	0.48	1396	1.4000000000000001	164	0.16	395	0.39	6	0.0	20	0.02	695	0.7000000000000001	0	0.0	0	0.0	1249	1.25	3	0.0	1892	1.89
WT4_CO875-001_R1_screen	99492	99.35000000000001	100157	16907	16.87	16882	16.86	562	0.56	634	0.64	185	0.18	345	0.34	3	0.0	67	0.060000000000000005	712	0.7100000000000001	0	0.0	0	0.0	551	0.55	169	0.17	630	0.63
WT4_CO875-001_R2_screen	98806	98.64999999999999	100157	18332	18.310000000000002	18653	18.62	523	0.52	1125	1.11	177	0.18	355	0.35	4	0.0	74	0.07	709	0.7100000000000001	0	0.0	0	0.0	928	0.9199999999999999	6	0.0	981	0.98
